Workflow_ID,Process_Name,Process_Step,Task_ID,Task_Type,Priority_Level,Department,Assigned_Employee_ID,Task_Start_Time,Task_End_Time,Estimated_Time_Minutes,Actual_Time_Minutes,Delay_Flag,Delay_Minutes,Approval_Level,Employee_Workload,Cost_Per_Task
WF_17,Purchase Order,5,TASK_17,Escalation,Critical,Operations,EMP_88,12/27/2024 7:57,12/27/2024 10:06,81,129,1,48,Level 2,4,$192.46
WF_18,Invoice Approval,4,TASK_18,Approval,High,Operations,EMP_59,8/23/2024 13:17,8/23/2024 15:46,105,149,1,44,Level 1,9,$427.43
WF_19,HR Onboarding,2,TASK_19,Validation,Medium,Customer Service,EMP_120,1/15/2024 13:57,1/15/2024 14:32,24,35,1,11,Level 2,6,$273.65
WF_20,Purchase Order,3,TASK_20,Review,Low,HR,EMP_108,12/5/2024 2:37,12/5/2024 5:26,160,169,1,9,Level 2,5,$109.32
WF_21,Invoice Approval,3,TASK_21,Review,Medium,IT,EMP_114,3/6/2024 14:06,3/6/2024 19:24,233,318,1,85,Level 2,5,$335.36
WF_22,Customer Complaint,1,TASK_22,Data Entry,High,IT,EMP_58,3/2/2024 22:25,3/3/2024 4:07,236,342,1,106,Level 3,10,$245.28
WF_23,Invoice Approval,4,TASK_23,Approval,Critical,Customer Service,EMP_30,4/26/2024 14:39,4/26/2024 18:00,94,201,1,107,Level 3,6,$237.15
WF_24,Customer Complaint,2,TASK_24,Validation,Low,IT,EMP_80,4/21/2024 14:27,4/21/2024 18:40,206,253,1,47,Level 3,5,$469.47
WF_25,Purchase Order,2,TASK_25,Validation,Critical,HR,EMP_1,4/11/2024 19:55,4/11/2024 22:16,25,141,1,116,Level 1,4,$196.04
WF_26,HR Onboarding,3,TASK_26,Review,Medium,Operations,EMP_56,8/29/2024 6:53,8/29/2024 9:47,62,174,1,112,Level 3,5,$202.24
WF_27,Invoice Approval,3,TASK_27,Review,Low,IT,EMP_9,5/7/2024 19:33,5/8/2024 0:44,200,311,1,111,Level 2,7,$53.42
WF_28,Invoice Approval,3,TASK_28,Review,High,Finance,EMP_92,11/13/2024 23:49,11/14/2024 0:44,28,55,1,27,Level 2,8,$341.32
WF_29,Invoice Approval,4,TASK_29,Approval,High,HR,EMP_18,4/29/2024 20:22,4/29/2024 22:02,73,100,1,27,Level 1,3,$355.81
WF_30,IT Support Ticket,3,TASK_30,Review,Low,HR,EMP_86,2/7/2024 10:46,2/7/2024 16:22,236,336,1,100,Level 3,7,$334.20
WF_31,Invoice Approval,2,TASK_31,Validation,Low,Customer Service,EMP_110,9/1/2024 0:46,9/1/2024 4:08,88,202,1,114,Level 2,7,$285.27
WF_32,Invoice Approval,3,TASK_32,Review,High,HR,EMP_44,5/13/2024 10:34,5/13/2024 13:49,161,195,1,34,Level 3,10,$98.60
WF_33,Purchase Order,5,TASK_33,Escalation,Critical,HR,EMP_107,11/11/2024 0:00,11/11/2024 4:00,211,240,1,29,Level 1,3,$181.64
WF_34,HR Onboarding,3,TASK_34,Review,Low,Customer Service,EMP_21,7/25/2024 15:38,7/25/2024 18:35,131,177,1,46,Level 1,9,$270.29
WF_35,HR Onboarding,2,TASK_35,Validation,Low,Operations,EMP_91,9/10/2024 0:50,9/10/2024 2:01,63,71,1,8,Level 2,5,$384.66
WF_36,Invoice Approval,5,TASK_36,Escalation,High,IT,EMP_26,9/23/2024 16:04,9/23/2024 19:02,163,178,1,15,Level 1,6,$194.45
WF_37,Invoice Approval,1,TASK_37,Data Entry,Low,Operations,EMP_87,11/20/2024 19:28,11/20/2024 21:05,86,97,1,11,Level 3,4,$94.41
WF_38,HR Onboarding,2,TASK_38,Validation,High,IT,EMP_147,8/25/2024 6:42,8/25/2024 11:01,229,259,1,30,Level 3,2,$159.50
WF_39,Invoice Approval,2,TASK_39,Validation,Low,Finance,EMP_90,2/18/2024 16:12,2/18/2024 19:19,108,187,1,79,Level 2,10,$376.48
WF_40,Purchase Order,2,TASK_40,Validation,Medium,Customer Service,EMP_5,1/25/2024 17:32,1/25/2024 20:09,154,157,1,3,Level 2,4,$388.34
WF_41,Purchase Order,5,TASK_41,Escalation,High,Finance,EMP_131,11/28/2024 1:01,11/28/2024 4:35,201,214,1,13,Level 1,5,$291.08
WF_42,Customer Complaint,2,TASK_42,Validation,High,HR,EMP_138,1/17/2024 17:00,1/17/2024 20:46,161,226,1,65,Level 3,7,$439.36
WF_43,Invoice Approval,5,TASK_43,Escalation,Medium,Customer Service,EMP_77,4/24/2024 5:47,4/24/2024 8:05,111,138,1,27,Level 1,2,$333.11
WF_44,Invoice Approval,2,TASK_44,Validation,Critical,Finance,EMP_7,6/22/2024 19:43,6/23/2024 0:02,210,259,1,49,Level 1,5,$474.62
WF_45,IT Support Ticket,3,TASK_45,Review,Low,Finance,EMP_16,6/20/2024 23:55,6/21/2024 1:55,62,120,1,58,Level 1,8,$173.69
WF_46,IT Support Ticket,4,TASK_46,Approval,Low,Finance,EMP_28,11/25/2024 6:34,11/25/2024 8:09,82,95,1,13,Level 1,5,$170.79
WF_47,HR Onboarding,2,TASK_47,Validation,High,IT,EMP_94,1/9/2024 0:32,1/9/2024 2:56,76,144,1,68,Level 1,6,$482.99
WF_48,Invoice Approval,2,TASK_48,Validation,Low,IT,EMP_55,6/3/2024 4:05,6/3/2024 9:32,228,327,1,99,Level 2,3,$205.93
WF_49,HR Onboarding,5,TASK_49,Escalation,Critical,IT,EMP_86,6/24/2024 12:33,6/24/2024 15:14,83,161,1,78,Level 1,1,$197.84
WF_50,Customer Complaint,3,TASK_50,Review,High,IT,EMP_16,7/13/2024 1:19,7/13/2024 5:24,195,245,1,50,Level 2,6,$252.59
WF_51,IT Support Ticket,4,TASK_51,Approval,High,IT,EMP_53,8/7/2024 2:35,8/7/2024 4:36,52,121,1,69,Level 3,1,$122.07
WF_52,Purchase Order,4,TASK_52,Approval,Critical,HR,EMP_121,3/11/2024 13:03,3/11/2024 15:29,48,146,1,98,Level 3,2,$54.31
WF_53,Purchase Order,4,TASK_53,Approval,Medium,Operations,EMP_118,7/9/2024 7:25,7/9/2024 10:21,174,176,1,2,Level 1,8,$322.24
WF_54,Customer Complaint,3,TASK_54,Review,High,IT,EMP_146,8/12/2024 15:37,8/12/2024 17:47,67,130,1,63,Level 1,2,$448.59
WF_55,Customer Complaint,2,TASK_55,Validation,Low,HR,EMP_125,3/24/2024 12:22,3/24/2024 16:13,183,231,1,48,Level 3,1,$51.05
WF_56,IT Support Ticket,5,TASK_56,Escalation,Critical,HR,EMP_28,11/25/2024 11:00,11/25/2024 13:23,71,143,1,72,Level 1,1,$116.50
WF_57,Customer Complaint,2,TASK_57,Validation,High,Operations,EMP_91,3/4/2024 20:40,3/4/2024 21:26,42,46,1,4,Level 1,8,$148.44
WF_58,Invoice Approval,1,TASK_58,Data Entry,Critical,Customer Service,EMP_68,9/3/2024 10:46,9/3/2024 11:29,40,43,1,3,Level 3,4,$258.24
WF_59,HR Onboarding,4,TASK_59,Approval,Low,HR,EMP_106,2/8/2024 1:36,2/8/2024 3:51,70,135,1,65,Level 3,2,$202.60
WF_60,HR Onboarding,1,TASK_60,Data Entry,Critical,IT,EMP_45,6/11/2024 0:35,6/11/2024 4:17,187,222,1,35,Level 3,9,$60.36
WF_61,Invoice Approval,3,TASK_61,Review,High,IT,EMP_101,6/19/2024 16:23,6/19/2024 20:05,207,222,1,15,Level 1,5,$441.27
WF_62,HR Onboarding,3,TASK_62,Review,High,Operations,EMP_105,7/20/2024 17:05,7/20/2024 18:54,88,109,1,21,Level 2,9,$464.98
WF_63,IT Support Ticket,5,TASK_63,Escalation,Medium,HR,EMP_58,5/19/2024 1:43,5/19/2024 6:30,192,287,1,95,Level 3,10,$269.71
WF_64,Purchase Order,4,TASK_64,Approval,Critical,IT,EMP_30,1/6/2024 0:27,1/6/2024 2:08,22,101,1,79,Level 1,7,$497.43
WF_65,HR Onboarding,4,TASK_65,Approval,Medium,Customer Service,EMP_146,3/19/2024 23:08,3/20/2024 1:23,68,135,1,67,Level 2,9,$269.23
WF_66,Customer Complaint,2,TASK_66,Validation,Medium,Finance,EMP_75,8/28/2024 1:24,8/28/2024 4:50,180,206,1,26,Level 1,10,$250.30
WF_67,HR Onboarding,5,TASK_67,Escalation,Low,Customer Service,EMP_20,10/6/2024 22:31,10/7/2024 1:31,184,180,0,0,Level 2,9,$235.12
WF_68,HR Onboarding,1,TASK_68,Data Entry,Medium,IT,EMP_67,11/4/2024 19:01,11/4/2024 20:14,70,73,1,3,Level 3,2,$180.60
WF_69,Invoice Approval,3,TASK_69,Review,Medium,Customer Service,EMP_124,11/17/2024 2:52,11/17/2024 7:21,210,269,1,59,Level 3,9,$309.64
WF_70,IT Support Ticket,4,TASK_70,Approval,Medium,Finance,EMP_135,8/28/2024 15:01,8/28/2024 17:22,114,141,1,27,Level 2,2,$164.67
WF_71,IT Support Ticket,3,TASK_71,Review,High,HR,EMP_76,1/3/2024 0:39,1/3/2024 5:15,174,276,1,102,Level 3,2,$488.90
WF_72,Purchase Order,1,TASK_72,Data Entry,High,IT,EMP_27,2/16/2024 12:15,2/16/2024 14:10,109,115,1,6,Level 2,1,$473.42
WF_73,Customer Complaint,4,TASK_73,Approval,Low,Customer Service,EMP_9,9/1/2024 8:02,9/1/2024 9:49,99,107,1,8,Level 1,5,$366.29
WF_74,Invoice Approval,3,TASK_74,Review,High,IT,EMP_26,1/8/2024 11:40,1/8/2024 12:12,21,32,1,11,Level 2,3,$380.23
WF_75,HR Onboarding,3,TASK_75,Review,Low,HR,EMP_27,4/2/2024 13:56,4/2/2024 16:13,65,137,1,72,Level 2,5,$336.77
WF_76,Customer Complaint,1,TASK_76,Data Entry,Low,Customer Service,EMP_135,3/8/2024 7:07,3/8/2024 12:02,177,295,1,118,Level 2,1,$54.30
WF_77,HR Onboarding,5,TASK_77,Escalation,Medium,Customer Service,EMP_71,10/1/2024 14:15,10/1/2024 15:42,86,87,1,1,Level 3,9,$365.36
WF_78,Customer Complaint,4,TASK_78,Approval,Low,Finance,EMP_8,3/9/2024 6:19,3/9/2024 9:02,88,163,1,75,Level 3,7,$321.79
WF_79,Purchase Order,3,TASK_79,Review,High,Customer Service,EMP_28,6/5/2024 6:05,6/5/2024 8:24,139,139,0,0,Level 2,2,$299.98
WF_80,IT Support Ticket,1,TASK_80,Data Entry,Critical,Finance,EMP_63,10/30/2024 21:47,10/30/2024 23:03,17,76,1,59,Level 1,6,$286.49
WF_81,Invoice Approval,4,TASK_81,Approval,Medium,Operations,EMP_38,1/26/2024 11:14,1/26/2024 14:52,105,218,1,113,Level 2,9,$393.35
WF_82,Invoice Approval,3,TASK_82,Review,Low,Operations,EMP_78,1/4/2024 15:44,1/4/2024 15:56,15,12,0,0,Level 1,4,$415.23
WF_83,Customer Complaint,1,TASK_83,Data Entry,Low,Customer Service,EMP_129,6/5/2024 15:39,6/5/2024 17:04,77,85,1,8,Level 3,1,$124.20
WF_84,Customer Complaint,5,TASK_84,Escalation,High,HR,EMP_59,12/13/2024 15:36,12/13/2024 17:42,78,126,1,48,Level 1,2,$421.04
WF_85,Customer Complaint,3,TASK_85,Review,Low,Customer Service,EMP_143,5/30/2024 22:00,5/31/2024 0:50,124,170,1,46,Level 3,9,$130.94
WF_86,Invoice Approval,4,TASK_86,Approval,High,IT,EMP_88,3/5/2024 21:43,3/6/2024 3:10,225,327,1,102,Level 2,9,$283.09
WF_87,IT Support Ticket,2,TASK_87,Validation,High,Finance,EMP_28,9/8/2024 16:12,9/8/2024 19:30,124,198,1,74,Level 3,1,$83.88
WF_88,IT Support Ticket,2,TASK_88,Validation,Low,IT,EMP_27,2/17/2024 18:01,2/17/2024 19:39,85,98,1,13,Level 3,1,$225.67
WF_89,HR Onboarding,5,TASK_89,Escalation,Medium,HR,EMP_121,3/13/2024 20:11,3/13/2024 23:40,181,209,1,28,Level 3,8,$172.21
WF_90,Customer Complaint,4,TASK_90,Approval,Critical,Operations,EMP_136,12/18/2024 13:22,12/18/2024 15:12,113,110,0,0,Level 3,6,$364.89
WF_91,HR Onboarding,3,TASK_91,Review,High,Operations,EMP_124,5/6/2024 15:32,5/6/2024 16:35,36,63,1,27,Level 3,9,$177.53
WF_92,Purchase Order,1,TASK_92,Data Entry,High,Customer Service,EMP_134,7/7/2024 7:17,7/7/2024 12:13,221,296,1,75,Level 2,8,$260.11
WF_93,IT Support Ticket,5,TASK_93,Escalation,Medium,Customer Service,EMP_26,11/15/2024 3:48,11/15/2024 7:13,177,205,1,28,Level 1,7,$481.12
WF_94,Invoice Approval,4,TASK_94,Approval,Medium,Finance,EMP_83,9/20/2024 17:49,9/20/2024 19:38,17,109,1,92,Level 1,5,$65.10
WF_95,Purchase Order,4,TASK_95,Approval,Low,Customer Service,EMP_137,4/10/2024 17:49,4/10/2024 22:18,184,269,1,85,Level 1,9,$209.72
WF_96,HR Onboarding,5,TASK_96,Escalation,High,HR,EMP_112,10/22/2024 11:10,10/22/2024 12:43,77,93,1,16,Level 3,1,$130.12
WF_97,Purchase Order,3,TASK_97,Review,Medium,Customer Service,EMP_143,1/21/2024 15:02,1/21/2024 16:30,30,88,1,58,Level 3,5,$174.12
WF_98,IT Support Ticket,2,TASK_98,Validation,High,IT,EMP_26,5/23/2024 12:42,5/23/2024 16:13,161,211,1,50,Level 2,8,$411.13
WF_99,Invoice Approval,2,TASK_99,Validation,High,Finance,EMP_143,3/29/2024 22:10,3/30/2024 1:01,77,171,1,94,Level 2,6,$113.26
WF_100,Purchase Order,5,TASK_100,Escalation,Medium,Operations,EMP_64,11/17/2024 5:34,11/17/2024 11:16,235,342,1,107,Level 2,3,$161.09
WF_101,Invoice Approval,3,TASK_101,Review,Critical,IT,EMP_15,6/9/2024 1:21,6/9/2024 5:11,152,230,1,78,Level 3,5,$375.96
WF_102,HR Onboarding,4,TASK_102,Approval,Medium,Customer Service,EMP_38,6/16/2024 6:07,6/16/2024 9:19,161,192,1,31,Level 1,3,$431.74
WF_103,Customer Complaint,1,TASK_103,Data Entry,Low,Customer Service,EMP_37,1/28/2024 5:17,1/28/2024 9:58,176,281,1,105,Level 1,2,$492.06
WF_104,Invoice Approval,4,TASK_104,Approval,Low,Customer Service,EMP_53,8/9/2024 3:32,8/9/2024 4:44,40,72,1,32,Level 1,6,$104.17
WF_105,Customer Complaint,3,TASK_105,Review,High,IT,EMP_127,4/20/2024 20:13,4/20/2024 22:58,98,165,1,67,Level 1,9,$418.01
WF_106,Invoice Approval,4,TASK_106,Approval,Low,Operations,EMP_124,7/6/2024 18:31,7/6/2024 22:09,213,218,1,5,Level 3,5,$275.48
WF_107,Invoice Approval,2,TASK_107,Validation,Low,Operations,EMP_38,1/27/2024 2:52,1/27/2024 4:33,97,101,1,4,Level 2,3,$138.36
WF_108,IT Support Ticket,5,TASK_108,Escalation,High,IT,EMP_80,5/27/2024 12:21,5/27/2024 14:11,50,110,1,60,Level 1,9,$211.40
WF_109,Purchase Order,4,TASK_109,Approval,High,Customer Service,EMP_10,3/23/2024 18:18,3/23/2024 23:32,216,314,1,98,Level 3,8,$361.12
WF_110,HR Onboarding,3,TASK_110,Review,Low,Operations,EMP_78,10/23/2024 9:27,10/23/2024 12:49,136,202,1,66,Level 2,6,$155.22
WF_111,Invoice Approval,2,TASK_111,Validation,Critical,Customer Service,EMP_11,6/30/2024 0:42,6/30/2024 3:25,50,163,1,113,Level 1,9,$387.75
WF_112,Customer Complaint,4,TASK_112,Approval,Low,HR,EMP_99,12/1/2024 22:48,12/1/2024 23:37,13,49,1,36,Level 2,3,$234.36
WF_113,HR Onboarding,1,TASK_113,Data Entry,Medium,HR,EMP_90,11/18/2024 2:09,11/18/2024 6:33,207,264,1,57,Level 3,6,$378.40
WF_114,Purchase Order,2,TASK_114,Validation,Medium,Operations,EMP_73,1/11/2024 3:12,1/11/2024 7:28,206,256,1,50,Level 1,10,$404.91
WF_115,HR Onboarding,3,TASK_115,Review,Low,IT,EMP_129,11/21/2024 7:51,11/21/2024 10:09,93,138,1,45,Level 1,4,$424.76
WF_116,IT Support Ticket,5,TASK_116,Escalation,Medium,Customer Service,EMP_11,4/4/2024 0:23,4/4/2024 4:56,156,273,1,117,Level 3,6,$63.64
WF_117,Customer Complaint,5,TASK_117,Escalation,Low,IT,EMP_146,3/9/2024 1:48,3/9/2024 5:09,117,201,1,84,Level 2,1,$145.69
WF_118,HR Onboarding,5,TASK_118,Escalation,Low,Finance,EMP_44,2/17/2024 0:08,2/17/2024 4:34,192,266,1,74,Level 1,10,$282.42
WF_119,Purchase Order,5,TASK_119,Escalation,Critical,Customer Service,EMP_4,10/12/2024 12:41,10/12/2024 15:58,114,197,1,83,Level 2,7,$147.50
WF_120,Purchase Order,5,TASK_120,Escalation,Medium,Customer Service,EMP_35,2/3/2024 0:16,2/3/2024 4:26,143,250,1,107,Level 1,6,$310.88
WF_121,Invoice Approval,2,TASK_121,Validation,Critical,Finance,EMP_17,5/17/2024 20:13,5/18/2024 0:02,117,229,1,112,Level 1,7,$351.16
WF_122,Purchase Order,2,TASK_122,Validation,Critical,Operations,EMP_92,5/3/2024 23:58,5/4/2024 4:50,227,292,1,65,Level 3,3,$72.95
WF_123,Purchase Order,3,TASK_123,Review,Critical,Operations,EMP_34,11/3/2024 6:24,11/3/2024 10:26,132,242,1,110,Level 3,8,$489.88
WF_124,Purchase Order,5,TASK_124,Escalation,Critical,Operations,EMP_1,3/3/2024 6:57,3/3/2024 9:18,55,141,1,86,Level 1,1,$479.95
WF_125,IT Support Ticket,5,TASK_125,Escalation,High,HR,EMP_59,1/3/2024 3:15,1/3/2024 8:00,237,285,1,48,Level 1,7,$367.89
WF_126,IT Support Ticket,3,TASK_126,Review,High,IT,EMP_141,1/15/2024 22:02,1/16/2024 2:15,174,253,1,79,Level 2,6,$467.99
WF_127,HR Onboarding,4,TASK_127,Approval,Medium,Finance,EMP_147,11/19/2024 18:38,11/19/2024 22:30,233,232,0,0,Level 3,3,$443.42
WF_128,HR Onboarding,1,TASK_128,Data Entry,High,IT,EMP_145,6/27/2024 18:02,6/27/2024 20:42,65,160,1,95,Level 1,5,$180.84
WF_129,Customer Complaint,4,TASK_129,Approval,Low,Finance,EMP_106,7/14/2024 10:21,7/14/2024 12:09,93,108,1,15,Level 3,5,$76.06
WF_130,Invoice Approval,3,TASK_130,Review,Critical,IT,EMP_88,11/6/2024 14:24,11/6/2024 18:01,157,217,1,60,Level 2,5,$484.96
WF_131,Invoice Approval,2,TASK_131,Validation,Medium,HR,EMP_29,5/9/2024 10:20,5/9/2024 13:16,178,176,0,0,Level 2,3,$269.91
WF_132,Invoice Approval,3,TASK_132,Review,Low,IT,EMP_141,9/15/2024 3:13,9/15/2024 5:19,97,126,1,29,Level 3,4,$319.45
WF_133,HR Onboarding,5,TASK_133,Escalation,Medium,IT,EMP_36,7/19/2024 11:13,7/19/2024 12:36,72,83,1,11,Level 2,6,$410.05
WF_134,Invoice Approval,1,TASK_134,Data Entry,High,HR,EMP_36,4/12/2024 11:16,4/12/2024 14:37,116,201,1,85,Level 1,8,$400.61
WF_135,IT Support Ticket,2,TASK_135,Validation,Critical,HR,EMP_4,11/12/2024 8:55,11/12/2024 11:57,73,182,1,109,Level 3,10,$358.97
WF_136,Purchase Order,1,TASK_136,Data Entry,Medium,IT,EMP_61,3/2/2024 22:08,3/3/2024 0:58,127,170,1,43,Level 1,3,$58.70
WF_137,Purchase Order,2,TASK_137,Validation,Medium,Customer Service,EMP_47,4/3/2024 8:31,4/3/2024 11:17,148,166,1,18,Level 3,10,$219.67
WF_138,HR Onboarding,1,TASK_138,Data Entry,Low,IT,EMP_94,8/14/2024 3:54,8/14/2024 7:02,104,188,1,84,Level 2,4,$100.05
WF_139,Invoice Approval,5,TASK_139,Escalation,High,IT,EMP_113,11/1/2024 22:38,11/2/2024 1:58,141,200,1,59,Level 1,7,$195.12
WF_140,Customer Complaint,5,TASK_140,Escalation,Critical,Customer Service,EMP_21,7/23/2024 8:47,7/23/2024 13:27,226,280,1,54,Level 3,6,$347.58
WF_141,Invoice Approval,5,TASK_141,Escalation,Critical,Finance,EMP_72,2/7/2024 3:14,2/7/2024 7:04,150,230,1,80,Level 3,8,$413.26
WF_142,Customer Complaint,5,TASK_142,Escalation,Low,Customer Service,EMP_62,9/3/2024 4:57,9/3/2024 6:12,10,75,1,65,Level 1,6,$366.55
WF_143,IT Support Ticket,3,TASK_143,Review,Critical,Finance,EMP_72,10/8/2024 4:26,10/8/2024 8:30,172,244,1,72,Level 2,3,$85.77
WF_144,IT Support Ticket,3,TASK_144,Review,Low,Finance,EMP_13,10/12/2024 18:38,10/12/2024 22:47,155,249,1,94,Level 2,7,$430.32
WF_145,IT Support Ticket,4,TASK_145,Approval,High,IT,EMP_95,6/12/2024 13:41,6/12/2024 15:00,84,79,0,0,Level 3,2,$118.78
WF_146,Invoice Approval,3,TASK_146,Review,Low,HR,EMP_38,5/7/2024 20:27,5/8/2024 2:19,236,352,1,116,Level 1,6,$115.31
WF_147,Invoice Approval,1,TASK_147,Data Entry,Critical,Operations,EMP_102,1/18/2024 14:03,1/18/2024 17:50,179,227,1,48,Level 1,2,$295.18
WF_148,Customer Complaint,1,TASK_148,Data Entry,Medium,Finance,EMP_118,10/10/2024 15:49,10/10/2024 20:25,188,276,1,88,Level 3,4,$221.35
WF_149,Customer Complaint,3,TASK_149,Review,Low,Finance,EMP_117,6/24/2024 7:05,6/24/2024 11:11,174,246,1,72,Level 2,7,$80.10
WF_150,Invoice Approval,3,TASK_150,Review,Low,IT,EMP_74,4/8/2024 21:58,4/8/2024 23:48,53,110,1,57,Level 1,3,$471.22
WF_151,IT Support Ticket,5,TASK_151,Escalation,Critical,Finance,EMP_20,12/13/2024 18:56,12/13/2024 23:31,157,275,1,118,Level 3,1,$298.23
WF_152,Invoice Approval,3,TASK_152,Review,Low,Finance,EMP_73,1/1/2024 3:46,1/1/2024 6:43,163,177,1,14,Level 3,6,$293.52
WF_153,HR Onboarding,2,TASK_153,Validation,Critical,Finance,EMP_133,9/16/2024 15:49,9/16/2024 18:05,82,136,1,54,Level 2,3,$205.91
WF_154,Customer Complaint,1,TASK_154,Data Entry,High,Operations,EMP_16,8/19/2024 7:44,8/19/2024 12:19,156,275,1,119,Level 2,8,$326.32
WF_155,Customer Complaint,2,TASK_155,Validation,Low,HR,EMP_9,6/26/2024 21:47,6/27/2024 2:18,235,271,1,36,Level 1,8,$328.17
WF_156,HR Onboarding,3,TASK_156,Review,Low,IT,EMP_26,7/7/2024 14:47,7/7/2024 20:10,206,323,1,117,Level 1,2,$282.46
WF_157,Purchase Order,5,TASK_157,Escalation,Low,HR,EMP_54,2/2/2024 17:28,2/2/2024 20:27,143,179,1,36,Level 1,3,$79.54
WF_158,HR Onboarding,3,TASK_158,Review,Low,HR,EMP_5,3/21/2024 18:28,3/21/2024 20:31,27,123,1,96,Level 2,2,$364.10
WF_159,Purchase Order,4,TASK_159,Approval,Low,Finance,EMP_16,3/15/2024 7:44,3/15/2024 11:45,123,241,1,118,Level 2,2,$119.18
WF_160,Customer Complaint,1,TASK_160,Data Entry,Critical,Operations,EMP_54,2/17/2024 19:37,2/17/2024 23:58,213,261,1,48,Level 2,2,$57.55
WF_161,Customer Complaint,1,TASK_161,Data Entry,Low,Operations,EMP_101,2/1/2024 5:22,2/1/2024 7:37,64,135,1,71,Level 3,7,$444.40
WF_162,Purchase Order,1,TASK_162,Data Entry,High,Customer Service,EMP_109,6/5/2024 19:22,6/6/2024 0:00,162,278,1,116,Level 2,7,$273.51
WF_163,IT Support Ticket,1,TASK_163,Data Entry,Low,Operations,EMP_81,2/25/2024 23:24,2/26/2024 0:25,48,61,1,13,Level 2,1,$55.58
WF_164,IT Support Ticket,2,TASK_164,Validation,Low,Customer Service,EMP_69,10/11/2024 1:19,10/11/2024 2:18,17,59,1,42,Level 3,7,$371.13
WF_165,IT Support Ticket,5,TASK_165,Escalation,Critical,Customer Service,EMP_132,6/15/2024 19:32,6/15/2024 22:07,108,155,1,47,Level 3,1,$288.11
WF_166,Customer Complaint,5,TASK_166,Escalation,Critical,Finance,EMP_106,3/11/2024 1:56,3/11/2024 6:25,201,269,1,68,Level 2,3,$329.26
WF_167,HR Onboarding,1,TASK_167,Data Entry,High,Customer Service,EMP_25,1/16/2024 18:45,1/16/2024 21:31,141,166,1,25,Level 2,3,$481.28
WF_168,Purchase Order,2,TASK_168,Validation,High,HR,EMP_122,10/31/2024 11:56,10/31/2024 13:39,95,103,1,8,Level 2,4,$495.69
WF_169,HR Onboarding,5,TASK_169,Escalation,High,HR,EMP_139,4/18/2024 16:24,4/18/2024 18:58,159,154,0,0,Level 3,8,$285.58
WF_170,IT Support Ticket,2,TASK_170,Validation,Critical,Operations,EMP_22,5/29/2024 1:24,5/29/2024 7:13,238,349,1,111,Level 2,7,$177.94
